EFFECTIVE DATE OF CHANGE,DISCOUNT RATE,ACCOMMODATIONS WITH COLLATERAL,ACCOMMODATIONS WITHOUT COLLATERAL
7/1/16,1.375,1.75,3.625
3/25/16,1.5,1.875,3.75
12/18/15,1.625,2,3.875
9/25/15,1.75,2.125,4
7/1/11,1.875,2.25,4.125
4/1/11,1.75,2.125,4
12/31/10,1.625,2,3.875
10/1/10,1.5,1.875,3.75
6/25/10,1.375,1.75,3.625
2/19/09,1.25,1.625,3.5
1/8/09,1.5,1.875,3.75
12/12/08,2,2.375,4.25
11/10/08,2.75,3.125,5
10/30/08,3,3.375,5.25
10/9/08,3.25,3.625,5.5
9/26/08,3.5,3.875,5.75
6/27/08,3.625,4,5.875
3/28/08,3.5,3.875,5.75
12/21/07,3.375,3.75,5.625
9/21/07,3.25,3.625,5.5
6/22/07,3.125,3.5,5.375
3/30/07,2.875,3.25,5.125
12/29/06,2.75,3.125,5
9/29/06,2.625,3,4.875
6/30/06,2.5,2.875,4.75
3/31/06,2.375,2.75,4.625
12/23/05,2.25,2.625,4.5
9/16/05,2.125,2.5,4.375
7/1/05,2,2.375,4.25
3/25/05,1.875,2.25,4.125
12/31/04,1.75,2.125,4
10/1/04,1.625,2,3.875
6/27/03,1.375,1.75,3.625
11/12/02,1.625,2,3.875
6/28/02,1.875,2.25,4.125
12/28/01,2.125,2.5,4.375
11/8/01,2.25,2.625,4.5
10/4/01,2.5,2.875,4.75
9/19/01,2.75,3.125,5
8/20/01,3.25,3.625,5.5
6/29/01,3.5,3.875,5.75
5/18/01,3.75,4.125,6
4/23/01,4,4.375,9.625
3/30/01,4.125,4.5,9.625
3/6/01,4.25,4.625,9.625
2/2/01,4.375,4.75,9.625
12/29/00,4.625,5,9.625
