Metric,Year and Month,Statistical value
Monthly Real Earnings(NT),1980 JAN,"17,809"
Monthly Real Earnings(NT),1980 FEB,"22,638"
Monthly Real Earnings(NT),1980 MAR,"17,119"
Monthly Real Earnings(NT),1980 APR,"17,217"
Monthly Real Earnings(NT),1980 MAY,"17,282"
Monthly Real Earnings(NT),1980 JUN,"17,294"
Monthly Real Earnings(NT),1980 JUL,"17,872"
Monthly Real Earnings(NT),1980 AUG,"17,736"
Monthly Real Earnings(NT),1980 SEP,"17,461"
Monthly Real Earnings(NT),1980 OCT,"17,422"
Monthly Real Earnings(NT),1980 NOV,"17,562"
Monthly Real Earnings(NT),1980 DEC,"18,988"
Monthly Real Earnings(NT),1981 JAN,"20,402"
Monthly Real Earnings(NT),1981 FEB,"19,379"
Monthly Real Earnings(NT),1981 MAR,"17,269"
Monthly Real Earnings(NT),1981 APR,"17,649"
Monthly Real Earnings(NT),1981 MAY,"18,114"
Monthly Real Earnings(NT),1981 JUN,"18,141"
Monthly Real Earnings(NT),1981 JUL,"18,433"
Monthly Real Earnings(NT),1981 AUG,"18,500"
Monthly Real Earnings(NT),1981 SEP,"18,722"
Monthly Real Earnings(NT),1981 OCT,"18,790"
Monthly Real Earnings(NT),1981 NOV,"18,872"
Monthly Real Earnings(NT),1981 DEC,"20,212"
Monthly Real Earnings(NT),1982 JAN,"23,407"
Monthly Real Earnings(NT),1982 FEB,"19,276"
Monthly Real Earnings(NT),1982 MAR,"18,998"
Monthly Real Earnings(NT),1982 APR,"18,994"
Monthly Real Earnings(NT),1982 MAY,"19,085"
Monthly Real Earnings(NT),1982 JUN,"19,350"
Monthly Real Earnings(NT),1982 JUL,"19,141"
Monthly Real Earnings(NT),1982 AUG,"18,502"
Monthly Real Earnings(NT),1982 SEP,"19,209"
Monthly Real Earnings(NT),1982 OCT,"19,041"
Monthly Real Earnings(NT),1982 NOV,"19,119"
Monthly Real Earnings(NT),1982 DEC,"20,269"
Monthly Real Earnings(NT),1983 JAN,"20,022"
Monthly Real Earnings(NT),1983 FEB,"21,116"
Monthly Real Earnings(NT),1983 MAR,"19,564"
Monthly Real Earnings(NT),1983 APR,"19,330"
