Period,Index Type,Actual Number, Growth Rate(%)
2000M12,General,86.07,1.64
2001M01,General,86.4,2.36
2001M02,General,84.78,-1.03
2001M03,General,84.55,0.43
2001M04,General,85.25,0.42
2001M05,General,85.23,-0.22
2001M06,General,85.18,-0.14
2001M07,General,84.92,0.09
2001M08,General,85.48,0.45
2001M09,General,85.85,-0.51
2001M10,General,87.15,0.97
2001M11,General,86.12,-1.14
2001M12,General,84.62,-1.68
2002M01,General,84.95,-1.68
2002M02,General,85.98,1.42
2002M03,General,84.56,0.01
2002M04,General,85.43,0.21
2002M05,General,85.01,-0.26
2002M06,General,85.27,0.11
2002M07,General,85.28,0.42
2002M08,General,85.25,-0.27
2002M09,General,85.19,-0.77
2002M10,General,85.67,-1.7
2002M11,General,85.64,-0.56
2002M12,General,85.27,0.77
2003M01,General,85.87,1.08
2003M02,General,84.68,-1.51
2003M03,General,84.41,-0.18
2003M04,General,85.33,-0.12
2003M05,General,85.28,0.32
2003M06,General,84.79,-0.56
2003M07,General,84.44,-0.98
2003M08,General,84.75,-0.59
2003M09,General,85.01,-0.21
2003M10,General,85.62,-0.06
2003M11,General,85.24,-0.47
2003M12,General,85.22,-0.06
2004M01,General,85.88,0.01
2004M02,General,85.22,0.64
2004M03,General,85.16,0.89
2004M04,General,86.14,0.95
2004M05,General,86.06,0.91
2004M06,General,86.26,1.73
2004M07,General,87.25,3.33
2004M08,General,86.91,2.55
2004M09,General,87.38,2.79
2004M10,General,87.66,2.38
2004M11,General,86.54,1.53
2004M12,General,86.6,1.62
2005M01,General,86.3,0.49
2005M02,General,86.87,1.94
2005M03,General,87.12,2.3
2005M04,General,87.56,1.65
2005M05,General,88.04,2.3
2005M06,General,88.32,2.39
2005M07,General,89.35,2.41
2005M08,General,90.01,3.57
2005M09,General,90.14,3.16
2005M10,General,90.07,2.75
2005M11,General,88.71,2.51
2005M12,General,88.51,2.21
2006M01,General,88.61,2.68
2006M02,General,87.73,0.99
2006M03,General,87.48,0.41
2006M04,General,88.63,1.22
2006M05,General,89.44,1.59
2006M06,General,89.85,1.73
2006M07,General,90.05,0.78
2006M08,General,89.51,-0.56
2006M09,General,89.02,-1.24
2006M10,General,89,-1.19
2006M11,General,88.92,0.24
2006M12,General,89.11,0.68
2007M01,General,88.92,0.35
2007M02,General,89.26,1.74
2007M03,General,88.22,0.85
2007M04,General,89.24,0.69
2007M05,General,89.42,-0.02
2007M06,General,89.97,0.13
2007M07,General,89.76,-0.32
2007M08,General,90.95,1.61
2007M09,General,91.79,3.11
2007M10,General,93.74,5.33
2007M11,General,93.19,4.8
2007M12,General,92.08,3.33
2008M01,General,91.54,2.95
2008M02,General,92.71,3.87
2008M03,General,91.71,3.96
2008M04,General,92.7,3.88
2008M05,General,92.74,3.71
2008M06,General,94.44,4.97
2008M07,General,94.97,5.8
2008M08,General,95.21,4.68
2008M09,General,94.64,3.1
2008M10,General,95.98,2.39
2008M11,General,94.99,1.93
2008M12,General,93.24,1.26
2009M01,General,92.89,1.47
2009M02,General,91.47,-1.34
2009M03,General,91.57,-0.15
2009M04,General,92.27,-0.46
2009M05,General,92.66,-0.09
2009M06,General,92.57,-1.98
2009M07,General,92.75,-2.34
2009M08,General,94.43,-0.82
2009M09,General,93.8,-0.89
2009M10,General,94.16,-1.9
2009M11,General,93.46,-1.61
2009M12,General,93.01,-0.25
2010M01,General,93.13,0.26
2010M02,General,93.62,2.35
2010M03,General,92.73,1.27
2010M04,General,93.51,1.34
2010M05,General,93.36,0.76
2010M06,General,93.68,1.2
2010M07,General,93.97,1.32
2010M08,General,93.98,-0.48
2010M09,General,94.08,0.3
2010M10,General,94.7,0.57
2010M11,General,94.88,1.52
2010M12,General,94.16,1.24
2011M01,General,94.15,1.1
2011M02,General,94.86,1.32
2011M03,General,94.03,1.4
2011M04,General,94.73,1.3
2011M05,General,94.91,1.66
2011M06,General,95.5,1.94
2011M07,General,95.22,1.33
2011M08,General,95.25,1.35
2011M09,General,95.37,1.37
2011M10,General,95.88,1.25
2011M11,General,95.86,1.03
2011M12,General,96.07,2.03
2012M01,General,96.37,2.36
2012M02,General,95.09,0.24
2012M03,General,95.21,1.25
2012M04,General,96.09,1.44
2012M05,General,96.57,1.75
2012M06,General,97.19,1.77
2012M07,General,97.56,2.46
2012M08,General,98.51,3.42
2012M09,General,98.19,2.96
2012M10,General,98.12,2.34
2012M11,General,97.38,1.59
2012M12,General,97.62,1.61
2013M01,General,97.45,1.12
2013M02,General,97.91,2.97
2013M03,General,96.5,1.35
2013M04,General,97.1,1.05
2013M05,General,97.28,0.74
2013M06,General,97.77,0.6
2013M07,General,97.62,0.06
2013M08,General,97.74,-0.78
2013M09,General,99.02,0.85
2013M10,General,98.75,0.64
2013M11,General,98.04,0.68
2013M12,General,97.95,0.34
2014M01,General,98.25,0.82
2014M02,General,97.87,-0.04
2014M03,General,98.05,1.61
2014M04,General,98.71,1.66
2014M05,General,98.86,1.62
2014M06,General,99.37,1.64
2014M07,General,99.34,1.76
2014M08,General,99.77,2.08
2014M09,General,99.72,0.71
2014M10,General,99.79,1.05
2014M11,General,98.88,0.86
2014M12,General,98.54,0.6
2015M01,General,97.33,-0.94
2015M02,General,97.67,-0.2
2015M03,General,97.45,-0.61
2015M04,General,97.9,-0.82
2015M05,General,98.14,-0.73
2015M06,General,98.81,-0.56
2015M07,General,98.71,-0.63
2015M08,General,99.33,-0.44
2015M09,General,100.01,0.29
2015M10,General,100.1,0.31
2015M11,General,99.41,0.54
2015M12,General,98.67,0.13
2016M01,General,98.12,0.81
2016M02,General,100.02,2.41
2016M03,General,99.41,2.01
2016M04,General,99.73,1.87
2016M05,General,99.35,1.23
2016M06,General,99.7,0.9
2016M07,General,99.93,1.24
2016M08,General,99.89,0.56
2016M09,General,100.35,0.34
2016M10,General,101.8,1.7
2016M11,General,101.37,1.97
2016M12,General,100.34,1.69
2017M01,General,100.32,2.24
2017M02,General,99.96,-0.06
2017M03,General,99.59,0.18
2017M04,General,99.83,0.1
2017M05,General,99.94,0.59
2017M06,General,100.7,1
2017M07,General,100.7,0.77
2017M08,General,100.85,0.96
2017M09,General,100.84,0.49
2017M10,General,101.46,-0.33
2017M11,General,101.71,0.34
2017M12,General,101.56,1.22
2018M01,General,101.21,0.89
2018M02,General,102.16,2.2
2018M03,General,101.17,1.59
2018M04,General,101.83,2
2018M05,General,101.69,1.75
2018M06,General,102.11,1.4
2018M07,General,102.47,1.76
2018M08,General,102.4,1.54
2018M09,General,102.57,1.72
2018M10,General,102.64,1.16
2018M11,General,102.01,0.29
2018M12,General,101.5,-0.06
2019M01,General,101.39,0.18
2019M02,General,102.38,0.22
2019M03,General,101.74,0.56
2019M04,General,102.5,0.66
2019M05,General,102.64,0.93
2019M06,General,102.99,0.86
2000M12,Food,67.43,1.49
